,Country,Track Name,Artist Name,Album Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,TSignature,Positiveness
0,Global,Standing Next to You,Jung Kook,GOLDEN,91,11/3/2023,AR,0.711,0.0447,206020,0.809,0,2,0.339,-4.389,0,0.0955,106.017,4,0.816
1,Global,greedy,Tate McRae,greedy,100,9/15/2023,AR,0.75,0.256,131872,0.733,0,6,0.114,-3.18,0,0.0319,111.018,1,0.844
2,Global,Seven (feat. Latto) (Explicit Ver.),Jung Kook,GOLDEN,82,11/3/2023,AR,0.79,0.312,183551,0.831,0,11,0.0797,-4.185,1,0.044,124.987,4,0.872
3,Global,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,10/26/2023,AR,0.596,0.0504,229478,0.658,0,0,0.127,-7.346,1,0.036,100.012,4,0.176
4,Global,PERRO NEGRO,Bad Bunny,nadie sabe lo que va a pasar mañana,97,10/13/2023,AR,0.911,0.0887,162768,0.778,2.16e-05,5,0.179,-2.248,1,0.262,96.057,4,0.345
5,Global,Paint The Town Red,Doja Cat,Scarlet,89,9/20/2023,AR,0.864,0.255,230480,0.556,3.85e-06,2,0.112,-7.683,0,0.194,99.974,4,0.726
6,Global,Cruel Summer,Taylor Swift,Lover,99,8/23/2019,AR,0.552,0.117,178427,0.702,2.06e-05,9,0.105,-5.707,1,0.157,169.994,4,0.564
7,Global,MONACO,Bad Bunny,nadie sabe lo que va a pasar mañana,98,10/13/2023,AR,0.787,0.15,267194,0.621,0.000402,4,0.58,-5.009,0,0.068,139.056,4,0.13
8,Global,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,9/15/2023,AR,0.504,0.868,137773,0.308,0.135,9,0.158,-14.958,1,0.0321,113.95,4,0.121
9,Global,Strangers,Kenya Grace,Strangers,98,9/1/2023,AR,0.628,0.701,172965,0.523,0.00274,11,0.219,-8.307,0,0.0946,169.982,4,0.416
10,Global,Water,Tyla,Water,95,7/28/2023,AR,0.673,0.0856,200256,0.722,0,3,0.137,-3.495,0,0.0755,117.187,4,0.519
11,Global,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,10/26/2023,AR,0.793,0.186,146437,0.512,3.81e-05,0,0.0889,-9.319,1,0.0338,109.994,4,0.0662
12,Global,HARLEY QUINN,Fuerza Regida,Pa las Baby's Y Belikeada,90,10/20/2023,AR,0.815,0.0277,143327,0.741,0.0183,1,0.219,-6.04,1,0.0569,125.031,4,0.591
13,Global,3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,89,10/2/2023,AR,0.853,0.0322,201812,0.824,0,1,0.0859,-3.287,1,0.103,108.044,4,0.888
14,Global,QLONA,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),94,8/10/2023,AR,0.841,0.52,172798,0.738,0,7,0.0892,-7.455,0,0.307,169.918,4,0.484
15,Global,Agora Hills,Doja Cat,Scarlet,82,9/20/2023,AR,0.755,0.183,265360,0.687,0.000177,8,0.125,-6.247,0,0.101,123.01,4,0.381
16,Global,Que Onda,Calle 24,Que Onda,94,8/30/2023,AR,0.808,0.183,191467,0.944,1.11e-06,10,0.138,-4.863,0,0.0408,124.934,3,0.937
17,Global,I Wanna Be Yours,Arctic Monkeys,AM,95,9/9/2013,AR,0.464,0.136,183956,0.417,0.022,0,0.0974,-9.345,0,0.0256,67.528,4,0.479
18,Global,"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,1989 (Taylor's Version),91,10/26/2023,AR,0.629,0.345,180381,0.413,7.62e-05,7,0.0603,-13.178,1,0.055,77.983,4,0.306
19,Global,LALA,Myke Towers,LA VIDA ES UNA,97,3/23/2023,AR,0.708,0.0739,197920,0.737,0.00162,1,0.0955,-4.045,1,0.0436,91.986,4,0.607
20,Global,Lollipop,Darell,EVERYBODY GO TO THE DISCOTEK,95,7/28/2023,AR,0.822,0.179,199947,0.711,1.46e-05,6,0.083,-4.943,1,0.0668,102.984,4,0.934
21,Global,Daylight,David Kushner,Daylight,95,4/14/2023,AR,0.508,0.83,212954,0.43,0.000441,2,0.093,-9.475,0,0.0335,130.09,4,0.324
22,Global,vampire,Olivia Rodrigo,GUTS,95,9/8/2023,AR,0.511,0.177,219724,0.532,0,5,0.291,-5.745,1,0.0578,138.005,4,0.35
23,Global,As It Was,Harry Styles,Harry's House,95,5/20/2022,AR,0.52,0.342,167303,0.731,0.00101,6,0.311,-5.338,0,0.0557,173.93,4,0.662
24,Global,Say Don't Go (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),90,10/26/2023,AR,0.626,0.0656,279833,0.547,1.67e-05,4,0.149,-8.285,1,0.0342,109.946,4,0.192
25,Global,Starboy,The Weeknd,Starboy,94,11/25/2016,AR,0.679,0.141,230453,0.587,6.35e-06,7,0.137,-7.015,1,0.276,186.003,4,0.486
26,Global,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",95,7/13/2023,AR,0.444,0.959,222370,0.0911,1.05e-06,0,0.098,-17.665,1,0.0307,78.403,4,0.142
27,Global,IDGAF (feat. Yeat),Drake,For All The Dogs,94,10/6/2023,AR,0.663,0.0464,260111,0.67,8.92e-05,8,0.205,-8.399,1,0.271,136.952,4,0.138
28,Global,Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),94,5/25/2023,AR,0.671,0.0207,176579,0.845,0,11,0.329,-4.93,0,0.048,110.056,4,0.775
29,Global,Kill Bill,SZA,SOS,92,12/8/2022,AR,0.644,0.0521,153947,0.735,0.144,8,0.161,-5.747,1,0.0391,88.98,4,0.418
